date,inpc
2023-01-01,100.0
2023-02-01,100.35
2023-03-01,100.701225
2023-04-01,101.05367928750002
2023-05-01,101.40736716500626
2023-06-01,101.7622929500838
2023-07-01,102.1184609754091
2023-08-01,102.47587558882304
2023-09-01,102.83454115338392
2023-10-01,103.19446204742076
2023-11-01,103.55564266458674
2023-12-01,103.91808741391282
2024-01-01,104.28180071986152
2024-02-01,104.64678702238103
2024-03-01,105.01305077695936
2024-04-01,105.38059645467874
2024-05-01,105.74942854227012
2024-06-01,106.11955154216808
2024-07-01,106.49096997256568
2024-08-01,106.86368836746963
2024-09-01,107.2377112767558
2024-10-01,107.61304326622444
2024-11-01,107.98968891765624
2024-12-01,108.36765282886805
2025-01-01,108.74693961376909
2025-02-01,109.12755390241728
2025-03-01,109.50950034107576
2025-04-01,109.89278359226952
2025-05-01,110.27740833484248
2025-06-01,110.66337926401444
2025-07-01,111.05070109143848
2025-08-01,111.43937854525852
2025-09-01,111.82941637016694
2025-10-01,112.22081932746252
2025-11-01,112.61359219510868
2025-12-01,113.00773976779156
2026-01-01,113.40326685697885
2026-02-01,113.80017829097828
2026-03-01,114.19847891499668
2026-04-01,114.5981735911992
2026-05-01,114.99926719876838
2026-06-01,115.40176463396408
2026-07-01,115.80567081018296
2026-08-01,116.2109906580186
